title,company,location,skills_required,domain,stipend,duration,description
Product Analytics Intern,NextGen Systems 17,Kolkata,"Power BI, Statistics, SQL, Tableau, Excel, A/B Testing, Azure",Analytics,32000,5 months,"Product Analytics Intern at NextGen Systems 17 in Kolkata. Focus on analytics projects with Power BI, Statistics, SQL, Tableau, Excel."
Machine Learning Intern,InnoSoft 17,Bangalore,"TensorFlow, A/B Testing, NumPy, Matplotlib, Python, pandas, Ansible, Feature Engineering",AI/ML,8000,2 months,"Machine Learning Intern at InnoSoft 17 in Bangalore. Focus on ai/ml projects with TensorFlow, A/B Testing, NumPy, Matplotlib, Python."
Data Science Intern,BrightEdge 17,Hyderabad,"Power BI, SQL, Visualization, Tableau, NumPy",Data Science,9000,3 months,"Data Science Intern at BrightEdge 17 in Hyderabad. Focus on data science projects with Power BI, SQL, Visualization, Tableau, NumPy."
NLP Research Intern,NexusAI 17,Pune,"Transformers, Prompt Engineering, RAG, Embeddings, NLTK, Python",NLP,10000,4 months,"NLP Research Intern at NexusAI 17 in Pune. Focus on nlp projects with Transformers, Prompt Engineering, RAG, Embeddings, NLTK."
Backend Developer Intern,QuantifyX 17,Chennai,"Django, Docker, Microservices, Python, PostgreSQL, REST APIs, Linux, CI/CD",Backend,11000,5 months,"Backend Developer Intern at QuantifyX 17 in Chennai. Focus on backend projects with Django, Docker, Microservices, Python, PostgreSQL."
Frontend Developer Intern,TechCorp 18,Remote,"JavaScript, CSS, UI/UX, React, Django, Communication",Frontend,12000,2 months,"Frontend Developer Intern at TechCorp 18 in Remote. Focus on frontend projects with JavaScript, CSS, UI/UX, React, Django."
DevOps Intern,Analytics Hub 18,Delhi,"CI/CD, AWS, Monitoring, Terraform, Kubernetes, Linux",DevOps,13000,3 months,"DevOps Intern at Analytics Hub 18 in Delhi. Focus on devops projects with CI/CD, AWS, Monitoring, Terraform, Kubernetes."
Cloud Engineering Intern,AI Lab 18,Mumbai,"AWS, GCP, Docker, Terraform, Azure, Linux, CI/CD",Cloud,14000,4 months,"Cloud Engineering Intern at AI Lab 18 in Mumbai. Focus on cloud projects with AWS, GCP, Docker, Terraform, Azure."
Computer Vision Intern,StartupXYZ 18,Noida,"CNN, Python, OpenCV, PyTorch, Flask, AWS",Computer Vision,15000,5 months,"Computer Vision Intern at StartupXYZ 18 in Noida. Focus on computer vision projects with CNN, Python, OpenCV, PyTorch, Flask."
Security Engineering Intern,VisionTech 18,Gurugram,"Secure Coding, OAuth, IAM, SAST, Network Security, C++, CI/CD",Security,16000,2 months,"Security Engineering Intern at VisionTech 18 in Gurugram. Focus on security projects with Secure Coding, OAuth, IAM, SAST, Network Security."
Product Analytics Intern,CloudNine 18,Kolkata,"Tableau, SQL, Statistics, Excel, A/B Testing, Power BI, Ansible, Celery",Analytics,17000,3 months,"Product Analytics Intern at CloudNine 18 in Kolkata. Focus on analytics projects with Tableau, SQL, Statistics, Excel, A/B Testing."
Machine Learning Intern,DataForge 18,Bangalore,"A/B Testing, scikit-learn, TensorFlow, Matplotlib, CSS, Airflow",AI/ML,18000,4 months,"Machine Learning Intern at DataForge 18 in Bangalore. Focus on ai/ml projects with A/B Testing, scikit-learn, TensorFlow, Matplotlib, CSS."
Data Science Intern,NextGen Systems 18,Hyderabad,"Power BI, Python, NumPy, Visualization, Spark, SQL, Statistics",Data Science,19000,5 months,"Data Science Intern at NextGen Systems 18 in Hyderabad. Focus on data science projects with Power BI, Python, NumPy, Visualization, Spark."
NLP Research Intern,InnoSoft 18,Pune,"RAG, BERT, Transformers, Embeddings, NLTK, Python",NLP,20000,2 months,"NLP Research Intern at InnoSoft 18 in Pune. Focus on nlp projects with RAG, BERT, Transformers, Embeddings, NLTK."
Backend Developer Intern,BrightEdge 18,Chennai,"Django, FastAPI, REST APIs, PostgreSQL, Kubernetes, AWS",Backend,21000,3 months,"Backend Developer Intern at BrightEdge 18 in Chennai. Focus on backend projects with Django, FastAPI, REST APIs, PostgreSQL, Kubernetes."
Frontend Developer Intern,NexusAI 18,Remote,"CSS, JavaScript, Next.js, Tailwind CSS, TypeScript, Communication, Feature Engineering",Frontend,22000,4 months,"Frontend Developer Intern at NexusAI 18 in Remote. Focus on frontend projects with CSS, JavaScript, Next.js, Tailwind CSS, TypeScript."
DevOps Intern,QuantifyX 18,Delhi,"CI/CD, AWS, Docker, Monitoring, Kubernetes, Linux, REST APIs",DevOps,23000,5 months,"DevOps Intern at QuantifyX 18 in Delhi. Focus on devops projects with CI/CD, AWS, Docker, Monitoring, Kubernetes."
Cloud Engineering Intern,TechCorp 19,Mumbai,"Terraform, Azure, AWS, Kubernetes, CI/CD",Cloud,24000,2 months,"Cloud Engineering Intern at TechCorp 19 in Mumbai. Focus on cloud projects with Terraform, Azure, AWS, Kubernetes, CI/CD."
Computer Vision Intern,Analytics Hub 19,Noida,"OpenCV, CNN, Image Processing, PyTorch, Python, Bash, Analytical Thinking",Computer Vision,25000,3 months,"Computer Vision Intern at Analytics Hub 19 in Noida. Focus on computer vision projects with OpenCV, CNN, Image Processing, PyTorch, Python."
Security Engineering Intern,AI Lab 19,Gurugram,"OAuth, IAM, SAST, Secure Coding, Threat Modeling, Network Security, Azure, Docker",Security,26000,4 months,"Security Engineering Intern at AI Lab 19 in Gurugram. Focus on security projects with OAuth, IAM, SAST, Secure Coding, Threat Modeling."
Product Analytics Intern,StartupXYZ 19,Kolkata,"Power BI, Statistics, A/B Testing, Tableau, Feature Engineering, CNN",Analytics,27000,5 months,"Product Analytics Intern at StartupXYZ 19 in Kolkata. Focus on analytics projects with Power BI, Statistics, A/B Testing, Tableau, Feature Engineering."
Machine Learning Intern,VisionTech 19,Bangalore,"PyTorch, NumPy, scikit-learn, Python, Matplotlib, Django, CI/CD",AI/ML,28000,2 months,"Machine Learning Intern at VisionTech 19 in Bangalore. Focus on ai/ml projects with PyTorch, NumPy, scikit-learn, Python, Matplotlib."
Data Science Intern,CloudNine 19,Hyderabad,"Statistics, Python, pandas, Spark, Visualization, Power BI, NumPy",Data Science,29000,3 months,"Data Science Intern at CloudNine 19 in Hyderabad. Focus on data science projects with Statistics, Python, pandas, Spark, Visualization."
NLP Research Intern,DataForge 19,Pune,"Python, Prompt Engineering, NLTK, Embeddings, Transformers",NLP,30000,4 months,"NLP Research Intern at DataForge 19 in Pune. Focus on nlp projects with Python, Prompt Engineering, NLTK, Embeddings, Transformers."
Backend Developer Intern,NextGen Systems 19,Chennai,"REST APIs, Microservices, Docker, PostgreSQL, FastAPI, CI/CD, Kubernetes",Backend,31000,5 months,"Backend Developer Intern at NextGen Systems 19 in Chennai. Focus on backend projects with REST APIs, Microservices, Docker, PostgreSQL, FastAPI."
Frontend Developer Intern,InnoSoft 19,Remote,"JavaScript, Next.js, HTML, TypeScript, React, Tailwind CSS, Docker, Embeddings",Frontend,32000,2 months,"Frontend Developer Intern at InnoSoft 19 in Remote. Focus on frontend projects with JavaScript, Next.js, HTML, TypeScript, React."
DevOps Intern,BrightEdge 19,Delhi,"Kubernetes, Docker, CI/CD, Terraform, REST APIs",DevOps,8000,3 months,"DevOps Intern at BrightEdge 19 in Delhi. Focus on devops projects with Kubernetes, Docker, CI/CD, Terraform, REST APIs."
Cloud Engineering Intern,NexusAI 19,Mumbai,"Linux, AWS, Kubernetes, Azure, Terraform",Cloud,9000,4 months,"Cloud Engineering Intern at NexusAI 19 in Mumbai. Focus on cloud projects with Linux, AWS, Kubernetes, Azure, Terraform."
Computer Vision Intern,QuantifyX 19,Noida,"PyTorch, Object Detection, OpenCV, Image Processing, CNN, Python, Celery, Communication",Computer Vision,10000,5 months,"Computer Vision Intern at QuantifyX 19 in Noida. Focus on computer vision projects with PyTorch, Object Detection, OpenCV, Image Processing, CNN."
Security Engineering Intern,TechCorp 20,Gurugram,"IAM, Threat Modeling, Secure Coding, SAST, CNN, Airflow",Security,11000,2 months,"Security Engineering Intern at TechCorp 20 in Gurugram. Focus on security projects with IAM, Threat Modeling, Secure Coding, SAST, CNN."
Product Analytics Intern,Analytics Hub 20,Kolkata,"Tableau, SQL, Power BI, Excel, A/B Testing, Flask, Ansible",Analytics,12000,3 months,"Product Analytics Intern at Analytics Hub 20 in Kolkata. Focus on analytics projects with Tableau, SQL, Power BI, Excel, A/B Testing."
Machine Learning Intern,AI Lab 20,Bangalore,"PyTorch, pandas, TensorFlow, A/B Testing, Feature Engineering, NumPy, CI/CD, Celery",AI/ML,13000,4 months,"Machine Learning Intern at AI Lab 20 in Bangalore. Focus on ai/ml projects with PyTorch, pandas, TensorFlow, A/B Testing, Feature Engineering."
Data Science Intern,StartupXYZ 20,Hyderabad,"pandas, SQL, Spark, Statistics",Data Science,14000,5 months,"Data Science Intern at StartupXYZ 20 in Hyderabad. Focus on data science projects with pandas, SQL, Spark, Statistics."
NLP Research Intern,VisionTech 20,Pune,"NLTK, Embeddings, RAG, BERT, Python",NLP,15000,2 months,"NLP Research Intern at VisionTech 20 in Pune. Focus on nlp projects with NLTK, Embeddings, RAG, BERT, Python."
Backend Developer Intern,CloudNine 20,Chennai,"Python, Django, Docker, FastAPI, Microservices, PostgreSQL, Kubernetes",Backend,16000,3 months,"Backend Developer Intern at CloudNine 20 in Chennai. Focus on backend projects with Python, Django, Docker, FastAPI, Microservices."
Frontend Developer Intern,DataForge 20,Remote,"Next.js, TypeScript, Tailwind CSS, CSS, Airflow, CI/CD",Frontend,17000,4 months,"Frontend Developer Intern at DataForge 20 in Remote. Focus on frontend projects with Next.js, TypeScript, Tailwind CSS, CSS, Airflow."
DevOps Intern,NextGen Systems 20,Delhi,"Monitoring, Docker, AWS, Terraform, Linux, REST APIs, CI/CD",DevOps,18000,5 months,"DevOps Intern at NextGen Systems 20 in Delhi. Focus on devops projects with Monitoring, Docker, AWS, Terraform, Linux."
Cloud Engineering Intern,InnoSoft 20,Mumbai,"Azure, Kubernetes, Docker, Terraform, AWS, GCP",Cloud,19000,2 months,"Cloud Engineering Intern at InnoSoft 20 in Mumbai. Focus on cloud projects with Azure, Kubernetes, Docker, Terraform, AWS."
Computer Vision Intern,BrightEdge 20,Noida,"Image Processing, OpenCV, PyTorch, Python, Communication, CSS",Computer Vision,20000,3 months,"Computer Vision Intern at BrightEdge 20 in Noida. Focus on computer vision projects with Image Processing, OpenCV, PyTorch, Python, Communication."
Security Engineering Intern,NexusAI 20,Gurugram,"SAST, OAuth, Network Security, IAM, Threat Modeling, Django, Bash",Security,21000,4 months,"Security Engineering Intern at NexusAI 20 in Gurugram. Focus on security projects with SAST, OAuth, Network Security, IAM, Threat Modeling."
Product Analytics Intern,QuantifyX 20,Kolkata,"Statistics, Excel, Tableau, A/B Testing, SQL, Power BI, Feature Engineering, Django",Analytics,22000,5 months,"Product Analytics Intern at QuantifyX 20 in Kolkata. Focus on analytics projects with Statistics, Excel, Tableau, A/B Testing, SQL."
Machine Learning Intern,TechCorp 21,Bangalore,"Feature Engineering, TensorFlow, Matplotlib, scikit-learn, Embeddings, Flask",AI/ML,23000,2 months,"Machine Learning Intern at TechCorp 21 in Bangalore. Focus on ai/ml projects with Feature Engineering, TensorFlow, Matplotlib, scikit-learn, Embeddings."
Data Science Intern,Analytics Hub 21,Hyderabad,"Power BI, pandas, Spark, SQL, Statistics, Tableau",Data Science,24000,3 months,"Data Science Intern at Analytics Hub 21 in Hyderabad. Focus on data science projects with Power BI, pandas, Spark, SQL, Statistics."
NLP Research Intern,AI Lab 21,Pune,"Python, Embeddings, Transformers, NLTK, Prompt Engineering, BERT",NLP,25000,4 months,"NLP Research Intern at AI Lab 21 in Pune. Focus on nlp projects with Python, Embeddings, Transformers, NLTK, Prompt Engineering."
Backend Developer Intern,StartupXYZ 21,Chennai,"Django, Python, FastAPI, Microservices, PostgreSQL, CI/CD",Backend,26000,5 months,"Backend Developer Intern at StartupXYZ 21 in Chennai. Focus on backend projects with Django, Python, FastAPI, Microservices, PostgreSQL."
Frontend Developer Intern,VisionTech 21,Remote,"React, Tailwind CSS, Next.js, JavaScript, TypeScript, Django, CSS",Frontend,27000,2 months,"Frontend Developer Intern at VisionTech 21 in Remote. Focus on frontend projects with React, Tailwind CSS, Next.js, JavaScript, TypeScript."
DevOps Intern,CloudNine 21,Delhi,"Docker, CI/CD, Monitoring, Terraform, Linux, Kubernetes, PostgreSQL",DevOps,28000,3 months,"DevOps Intern at CloudNine 21 in Delhi. Focus on devops projects with Docker, CI/CD, Monitoring, Terraform, Linux."
Cloud Engineering Intern,DataForge 21,Mumbai,"AWS, GCP, Azure, Terraform, REST APIs, Docker",Cloud,29000,4 months,"Cloud Engineering Intern at DataForge 21 in Mumbai. Focus on cloud projects with AWS, GCP, Azure, Terraform, REST APIs."
Computer Vision Intern,NextGen Systems 21,Noida,"Object Detection, CNN, OpenCV, Python, Image Processing, CI/CD, Docker",Computer Vision,30000,5 months,"Computer Vision Intern at NextGen Systems 21 in Noida. Focus on computer vision projects with Object Detection, CNN, OpenCV, Python, Image Processing."
Security Engineering Intern,InnoSoft 21,Gurugram,"SAST, OAuth, Network Security, Threat Modeling, Secure Coding, IAM, A/B Testing, C++",Security,31000,2 months,"Security Engineering Intern at InnoSoft 21 in Gurugram. Focus on security projects with SAST, OAuth, Network Security, Threat Modeling, Secure Coding."
Product Analytics Intern,BrightEdge 21,Kolkata,"Excel, A/B Testing, Power BI, SQL, CI/CD, Bash",Analytics,32000,3 months,"Product Analytics Intern at BrightEdge 21 in Kolkata. Focus on analytics projects with Excel, A/B Testing, Power BI, SQL, CI/CD."
Machine Learning Intern,NexusAI 21,Bangalore,"TensorFlow, pandas, Python, Feature Engineering, scikit-learn, Flask, Django",AI/ML,8000,4 months,"Machine Learning Intern at NexusAI 21 in Bangalore. Focus on ai/ml projects with TensorFlow, pandas, Python, Feature Engineering, scikit-learn."
Data Science Intern,QuantifyX 21,Hyderabad,"SQL, Spark, Power BI, NumPy, Statistics, Python, Tableau",Data Science,9000,5 months,"Data Science Intern at QuantifyX 21 in Hyderabad. Focus on data science projects with SQL, Spark, Power BI, NumPy, Statistics."
NLP Research Intern,TechCorp 22,Pune,"NLTK, Prompt Engineering, Transformers, Python",NLP,10000,2 months,"NLP Research Intern at TechCorp 22 in Pune. Focus on nlp projects with NLTK, Prompt Engineering, Transformers, Python."
Backend Developer Intern,Analytics Hub 22,Chennai,"FastAPI, REST APIs, PostgreSQL, Microservices, Django, AWS, Docker",Backend,11000,3 months,"Backend Developer Intern at Analytics Hub 22 in Chennai. Focus on backend projects with FastAPI, REST APIs, PostgreSQL, Microservices, Django."
Frontend Developer Intern,AI Lab 22,Remote,"CSS, JavaScript, HTML, UI/UX, Tailwind CSS, TypeScript, Docker, AWS",Frontend,12000,4 months,"Frontend Developer Intern at AI Lab 22 in Remote. Focus on frontend projects with CSS, JavaScript, HTML, UI/UX, Tailwind CSS."
DevOps Intern,StartupXYZ 22,Delhi,"Terraform, CI/CD, Linux, AWS, Docker",DevOps,13000,5 months,"DevOps Intern at StartupXYZ 22 in Delhi. Focus on devops projects with Terraform, CI/CD, Linux, AWS, Docker."
Cloud Engineering Intern,VisionTech 22,Mumbai,"GCP, AWS, Terraform, Azure, Kubernetes",Cloud,14000,2 months,"Cloud Engineering Intern at VisionTech 22 in Mumbai. Focus on cloud projects with GCP, AWS, Terraform, Azure, Kubernetes."
Computer Vision Intern,CloudNine 22,Noida,"Python, Image Processing, CNN, Object Detection, PyTorch, OpenCV, FastAPI",Computer Vision,15000,3 months,"Computer Vision Intern at CloudNine 22 in Noida. Focus on computer vision projects with Python, Image Processing, CNN, Object Detection, PyTorch."
Security Engineering Intern,DataForge 22,Gurugram,"SAST, OAuth, Network Security, IAM, Docker, Azure",Security,16000,4 months,"Security Engineering Intern at DataForge 22 in Gurugram. Focus on security projects with SAST, OAuth, Network Security, IAM, Docker."
Product Analytics Intern,NextGen Systems 22,Kolkata,"Excel, SQL, Power BI, Statistics, A/B Testing, BERT, AWS",Analytics,17000,5 months,"Product Analytics Intern at NextGen Systems 22 in Kolkata. Focus on analytics projects with Excel, SQL, Power BI, Statistics, A/B Testing."
Machine Learning Intern,InnoSoft 22,Bangalore,"scikit-learn, Python, NumPy, Matplotlib, TensorFlow, A/B Testing, FastAPI, Docker",AI/ML,18000,2 months,"Machine Learning Intern at InnoSoft 22 in Bangalore. Focus on ai/ml projects with scikit-learn, Python, NumPy, Matplotlib, TensorFlow."
Data Science Intern,BrightEdge 22,Hyderabad,"Statistics, Python, Power BI, Tableau",Data Science,19000,3 months,"Data Science Intern at BrightEdge 22 in Hyderabad. Focus on data science projects with Statistics, Python, Power BI, Tableau."
NLP Research Intern,NexusAI 22,Pune,"Embeddings, RAG, Python, NLTK, BERT, Transformers",NLP,20000,4 months,"NLP Research Intern at NexusAI 22 in Pune. Focus on nlp projects with Embeddings, RAG, Python, NLTK, BERT."
Backend Developer Intern,QuantifyX 22,Chennai,"PostgreSQL, Microservices, Docker, REST APIs, FastAPI, Python, AWS",Backend,21000,5 months,"Backend Developer Intern at QuantifyX 22 in Chennai. Focus on backend projects with PostgreSQL, Microservices, Docker, REST APIs, FastAPI."
Frontend Developer Intern,TechCorp 23,Remote,"UI/UX, React, HTML, Tailwind CSS, Airflow, Communication",Frontend,22000,2 months,"Frontend Developer Intern at TechCorp 23 in Remote. Focus on frontend projects with UI/UX, React, HTML, Tailwind CSS, Airflow."
DevOps Intern,Analytics Hub 23,Delhi,"Docker, CI/CD, AWS, Kubernetes, Linux, REST APIs",DevOps,23000,3 months,"DevOps Intern at Analytics Hub 23 in Delhi. Focus on devops projects with Docker, CI/CD, AWS, Kubernetes, Linux."
Cloud Engineering Intern,AI Lab 23,Mumbai,"AWS, Terraform, GCP, Kubernetes, Azure, Docker, CI/CD",Cloud,24000,4 months,"Cloud Engineering Intern at AI Lab 23 in Mumbai. Focus on cloud projects with AWS, Terraform, GCP, Kubernetes, Azure."
Computer Vision Intern,StartupXYZ 23,Noida,"PyTorch, OpenCV, Object Detection, Image Processing, Django, AWS",Computer Vision,25000,5 months,"Computer Vision Intern at StartupXYZ 23 in Noida. Focus on computer vision projects with PyTorch, OpenCV, Object Detection, Image Processing, Django."
Security Engineering Intern,VisionTech 23,Gurugram,"SAST, IAM, Network Security, OAuth, Secure Coding, Airflow, Celery",Security,26000,2 months,"Security Engineering Intern at VisionTech 23 in Gurugram. Focus on security projects with SAST, IAM, Network Security, OAuth, Secure Coding."
Product Analytics Intern,CloudNine 23,Kolkata,"Tableau, Statistics, Excel, SQL, A/B Testing, Power BI, AWS, Ansible",Analytics,27000,3 months,"Product Analytics Intern at CloudNine 23 in Kolkata. Focus on analytics projects with Tableau, Statistics, Excel, SQL, A/B Testing."
Machine Learning Intern,DataForge 23,Bangalore,"pandas, scikit-learn, Matplotlib, PyTorch, CSS, Flask",AI/ML,28000,4 months,"Machine Learning Intern at DataForge 23 in Bangalore. Focus on ai/ml projects with pandas, scikit-learn, Matplotlib, PyTorch, CSS."
Data Science Intern,NextGen Systems 23,Hyderabad,"Power BI, Python, Statistics, SQL, NumPy",Data Science,29000,5 months,"Data Science Intern at NextGen Systems 23 in Hyderabad. Focus on data science projects with Power BI, Python, Statistics, SQL, NumPy."
NLP Research Intern,InnoSoft 23,Pune,"Prompt Engineering, RAG, Python, BERT, spaCy, NLTK",NLP,30000,2 months,"NLP Research Intern at InnoSoft 23 in Pune. Focus on nlp projects with Prompt Engineering, RAG, Python, BERT, spaCy."
Backend Developer Intern,BrightEdge 23,Chennai,"Django, Docker, Microservices, FastAPI, Kubernetes",Backend,31000,3 months,"Backend Developer Intern at BrightEdge 23 in Chennai. Focus on backend projects with Django, Docker, Microservices, FastAPI, Kubernetes."
Frontend Developer Intern,NexusAI 23,Remote,"React, Next.js, HTML, Tailwind CSS, JavaScript, C++, Flask",Frontend,32000,4 months,"Frontend Developer Intern at NexusAI 23 in Remote. Focus on frontend projects with React, Next.js, HTML, Tailwind CSS, JavaScript."
DevOps Intern,QuantifyX 23,Delhi,"Terraform, CI/CD, Kubernetes, Linux, Monitoring, AWS, Docker",DevOps,8000,5 months,"DevOps Intern at QuantifyX 23 in Delhi. Focus on devops projects with Terraform, CI/CD, Kubernetes, Linux, Monitoring."
Cloud Engineering Intern,TechCorp 24,Mumbai,"Azure, AWS, Docker, Terraform, PostgreSQL",Cloud,9000,2 months,"Cloud Engineering Intern at TechCorp 24 in Mumbai. Focus on cloud projects with Azure, AWS, Docker, Terraform, PostgreSQL."
Computer Vision Intern,Analytics Hub 24,Noida,"Python, CNN, Image Processing, PyTorch, Object Detection, FastAPI, Flask",Computer Vision,10000,3 months,"Computer Vision Intern at Analytics Hub 24 in Noida. Focus on computer vision projects with Python, CNN, Image Processing, PyTorch, Object Detection."
Security Engineering Intern,AI Lab 24,Gurugram,"IAM, SAST, OAuth, Threat Modeling, Secure Coding, Network Security, Embeddings, Bash",Security,11000,4 months,"Security Engineering Intern at AI Lab 24 in Gurugram. Focus on security projects with IAM, SAST, OAuth, Threat Modeling, Secure Coding."
Product Analytics Intern,StartupXYZ 24,Kolkata,"SQL, Excel, Statistics, A/B Testing, Docker",Analytics,12000,5 months,"Product Analytics Intern at StartupXYZ 24 in Kolkata. Focus on analytics projects with SQL, Excel, Statistics, A/B Testing, Docker."
Machine Learning Intern,VisionTech 24,Bangalore,"PyTorch, A/B Testing, scikit-learn, TensorFlow, pandas, Flask, Airflow",AI/ML,13000,2 months,"Machine Learning Intern at VisionTech 24 in Bangalore. Focus on ai/ml projects with PyTorch, A/B Testing, scikit-learn, TensorFlow, pandas."
Data Science Intern,CloudNine 24,Hyderabad,"SQL, Statistics, NumPy, Tableau, Power BI, Visualization, pandas",Data Science,14000,3 months,"Data Science Intern at CloudNine 24 in Hyderabad. Focus on data science projects with SQL, Statistics, NumPy, Tableau, Power BI."
NLP Research Intern,DataForge 24,Pune,"NLTK, Prompt Engineering, Embeddings, Python, RAG",NLP,15000,4 months,"NLP Research Intern at DataForge 24 in Pune. Focus on nlp projects with NLTK, Prompt Engineering, Embeddings, Python, RAG."
Backend Developer Intern,NextGen Systems 24,Chennai,"Docker, REST APIs, Django, FastAPI, Microservices, AWS, CI/CD",Backend,16000,5 months,"Backend Developer Intern at NextGen Systems 24 in Chennai. Focus on backend projects with Docker, REST APIs, Django, FastAPI, Microservices."
Frontend Developer Intern,InnoSoft 24,Remote,"React, Tailwind CSS, TypeScript, Next.js, JavaScript, HTML, Embeddings, Ansible",Frontend,17000,2 months,"Frontend Developer Intern at InnoSoft 24 in Remote. Focus on frontend projects with React, Tailwind CSS, TypeScript, Next.js, JavaScript."
DevOps Intern,BrightEdge 24,Delhi,"Linux, Kubernetes, Terraform, Monitoring, AWS",DevOps,18000,3 months,"DevOps Intern at BrightEdge 24 in Delhi. Focus on devops projects with Linux, Kubernetes, Terraform, Monitoring, AWS."
Cloud Engineering Intern,NexusAI 24,Mumbai,"GCP, Kubernetes, Terraform, AWS, Azure, Linux",Cloud,19000,4 months,"Cloud Engineering Intern at NexusAI 24 in Mumbai. Focus on cloud projects with GCP, Kubernetes, Terraform, AWS, Azure."
Computer Vision Intern,QuantifyX 24,Noida,"Image Processing, CNN, OpenCV, Object Detection, PyTorch, Python, Embeddings, Azure",Computer Vision,20000,5 months,"Computer Vision Intern at QuantifyX 24 in Noida. Focus on computer vision projects with Image Processing, CNN, OpenCV, Object Detection, PyTorch."
Security Engineering Intern,TechCorp 25,Gurugram,"Threat Modeling, SAST, OAuth, Secure Coding, Flask, CNN",Security,21000,2 months,"Security Engineering Intern at TechCorp 25 in Gurugram. Focus on security projects with Threat Modeling, SAST, OAuth, Secure Coding, Flask."
Product Analytics Intern,Analytics Hub 25,Kolkata,"Statistics, SQL, A/B Testing, Power BI, Tableau, Feature Engineering, C++",Analytics,22000,3 months,"Product Analytics Intern at Analytics Hub 25 in Kolkata. Focus on analytics projects with Statistics, SQL, A/B Testing, Power BI, Tableau."
Machine Learning Intern,AI Lab 25,Bangalore,"scikit-learn, Matplotlib, TensorFlow, PyTorch, Python, A/B Testing, FastAPI, CI/CD",AI/ML,23000,4 months,"Machine Learning Intern at AI Lab 25 in Bangalore. Focus on ai/ml projects with scikit-learn, Matplotlib, TensorFlow, PyTorch, Python."
Data Science Intern,StartupXYZ 25,Hyderabad,"Statistics, Visualization, SQL, Tableau, pandas",Data Science,24000,5 months,"Data Science Intern at StartupXYZ 25 in Hyderabad. Focus on data science projects with Statistics, Visualization, SQL, Tableau, pandas."
NLP Research Intern,VisionTech 25,Pune,"Prompt Engineering, Python, Embeddings, RAG, spaCy",NLP,25000,2 months,"NLP Research Intern at VisionTech 25 in Pune. Focus on nlp projects with Prompt Engineering, Python, Embeddings, RAG, spaCy."
Backend Developer Intern,CloudNine 25,Chennai,"PostgreSQL, Microservices, FastAPI, Django, Docker, Python, REST APIs, AWS",Backend,26000,3 months,"Backend Developer Intern at CloudNine 25 in Chennai. Focus on backend projects with PostgreSQL, Microservices, FastAPI, Django, Docker."
Frontend Developer Intern,DataForge 25,Remote,"CSS, UI/UX, React, Next.js, Ansible",Frontend,27000,4 months,"Frontend Developer Intern at DataForge 25 in Remote. Focus on frontend projects with CSS, UI/UX, React, Next.js, Ansible."
DevOps Intern,NextGen Systems 25,Delhi,"AWS, Monitoring, Docker, Linux, Terraform, PostgreSQL",DevOps,28000,5 months,"DevOps Intern at NextGen Systems 25 in Delhi. Focus on devops projects with AWS, Monitoring, Docker, Linux, Terraform."
Cloud Engineering Intern,InnoSoft 25,Mumbai,"GCP, Docker, Azure, Kubernetes, AWS, Terraform, REST APIs, PostgreSQL",Cloud,29000,2 months,"Cloud Engineering Intern at InnoSoft 25 in Mumbai. Focus on cloud projects with GCP, Docker, Azure, Kubernetes, AWS."
Computer Vision Intern,BrightEdge 25,Noida,"Image Processing, PyTorch, OpenCV, Python, CNN, Feature Engineering",Computer Vision,30000,3 months,"Computer Vision Intern at BrightEdge 25 in Noida. Focus on computer vision projects with Image Processing, PyTorch, OpenCV, Python, CNN."
Security Engineering Intern,NexusAI 25,Gurugram,"SAST, IAM, OAuth, Secure Coding, Network Security, Embeddings, Django",Security,31000,4 months,"Security Engineering Intern at NexusAI 25 in Gurugram. Focus on security projects with SAST, IAM, OAuth, Secure Coding, Network Security."
Product Analytics Intern,QuantifyX 25,Kolkata,"Power BI, Tableau, A/B Testing, SQL, Statistics, Excel, Embeddings, Django",Analytics,32000,5 months,"Product Analytics Intern at QuantifyX 25 in Kolkata. Focus on analytics projects with Power BI, Tableau, A/B Testing, SQL, Statistics."
